width,param_name,target_layer,norm_x,norm_dx,ideal_eta
32,encoder.weight,output,13.698319435119629,0.44179680943489075,31.005926506430495
32,encoder.bias,output,13.698319435119629,0.0,13698319435.119629
32,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,4.33425235748291,1.1024407285731286e-05,393114.94307263865
32,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,4.33425235748291,7.452036516042426e-05,58161.20448347184
32,ssm_blocks[0].ssm.B,ssm_state_0,4.33425235748291,0.012310951016843319,352.0647592122016
32,ssm_blocks[0].ssm.C,output,13.698319435119629,0.0010054906597360969,13623.50378790304
32,ssm_blocks[0].ssm.D,output,13.698319435119629,0.01921226643025875,712.9985820177155
32,ssm_blocks[0].ssm.log_step,ssm_state_0,4.33425235748291,0.01499053742736578,289.13253373011423
32,ssm_blocks[0].glu.w1.weight,output,13.698319435119629,0.7567613124847412,18.101241687476712
32,ssm_blocks[0].glu.w1.bias,output,13.698319435119629,0.13468776643276215,101.70425790120848
32,ssm_blocks[0].glu.w2.weight,output,13.698319435119629,0.03286304697394371,416.8304609475264
32,ssm_blocks[0].glu.w2.bias,output,13.698319435119629,0.003100622445344925,4417.9242260731135
32,decoder.weight,output,13.698319435119629,0.3803185522556305,36.01801520819397
32,decoder.bias,output,13.698319435119629,0.7598256468772888,18.028240390921756
64,encoder.weight,output,14.92981243133545,0.3153179883956909,47.3484321650932
64,encoder.bias,output,14.92981243133545,0.0,14929812431.33545
64,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,5.303897380828857,9.683551979833283e-06,547665.745599123
64,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,5.303897380828857,3.6815319617744535e-05,144063.75856951525
64,ssm_blocks[0].ssm.B,ssm_state_0,5.303897380828857,0.006708481349050999,790.6255252470272
64,ssm_blocks[0].ssm.C,output,14.92981243133545,0.000828536634799093,18019.47407609998
64,ssm_blocks[0].ssm.D,output,14.92981243133545,0.008810749277472496,1694.4995557879215
64,ssm_blocks[0].ssm.log_step,ssm_state_0,5.303897380828857,0.009251960553228855,573.2727433327739
64,ssm_blocks[0].glu.w1.weight,output,14.92981243133545,0.43819916248321533,34.07083736230664
64,ssm_blocks[0].glu.w1.bias,output,14.92981243133545,0.043325215578079224,344.59867971876037
64,ssm_blocks[0].glu.w2.weight,output,14.92981243133545,0.015590149909257889,957.6438687626616
64,ssm_blocks[0].glu.w2.bias,output,14.92981243133545,0.0015163582284003496,9845.82818616492
64,decoder.weight,output,14.92981243133545,0.26004281640052795,57.41290061605499
64,decoder.bias,output,14.92981243133545,0.3579309284687042,41.71143425212389
128,encoder.weight,output,20.13613510131836,0.29465538263320923,68.33791683366653
128,encoder.bias,output,20.13613510131836,0.0,20136135101.31836
128,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,8.882454872131348,3.929387094103731e-05,226046.16478979244
128,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,8.882454872131348,1.9346671251696534e-05,459096.8471904584
128,ssm_blocks[0].ssm.B,ssm_state_0,8.882454872131348,0.011722513474524021,757.7260741656717
128,ssm_blocks[0].ssm.C,output,20.13613510131836,0.0008850017911754549,22752.623270909324
128,ssm_blocks[0].ssm.D,output,20.13613510131836,0.005466478411108255,3683.5655248971343
128,ssm_blocks[0].ssm.log_step,ssm_state_0,8.882454872131348,0.0020084716379642487,4422.492347784455
128,ssm_blocks[0].glu.w1.weight,output,20.13613510131836,0.4830581545829773,41.684701662923224
128,ssm_blocks[0].glu.w1.bias,output,20.13613510131836,0.03721030056476593,541.144098665007
128,ssm_blocks[0].glu.w2.weight,output,20.13613510131836,0.01609019935131073,1251.453348104397
128,ssm_blocks[0].glu.w2.bias,output,20.13613510131836,0.0010191898327320814,19756.982161368815
128,decoder.weight,output,20.13613510131836,0.2918999493122101,68.98300283977838
128,decoder.bias,output,20.13613510131836,0.2430582195520401,82.84490463060517
256,encoder.weight,output,29.978673934936523,0.389377623796463,76.99125996417254
256,encoder.bias,output,29.978673934936523,0.0,29978673934.936523
256,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,11.003349304199219,1.1817424820037559e-05,931033.4898051372
256,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,11.003349304199219,1.6552532542846166e-05,664713.0620439361
256,ssm_blocks[0].ssm.B,ssm_state_0,11.003349304199219,0.010301807895302773,1068.0987597446426
256,ssm_blocks[0].ssm.C,output,29.978673934936523,0.0007138267974369228,41997.06713941128
256,ssm_blocks[0].ssm.D,output,29.978673934936523,0.004662750288844109,6429.395881925369
256,ssm_blocks[0].ssm.log_step,ssm_state_0,11.003349304199219,0.0064927926287055016,1694.7018392132397
256,ssm_blocks[0].glu.w1.weight,output,29.978673934936523,0.7936630249023438,37.77254698346657
256,ssm_blocks[0].glu.w1.bias,output,29.978673934936523,0.024425320327281952,1227.360472897924
256,ssm_blocks[0].glu.w2.weight,output,29.978673934936523,0.035912368446588516,834.7729319148096
256,ssm_blocks[0].glu.w2.bias,output,29.978673934936523,0.0009707161807455122,30883.01570176481
256,decoder.weight,output,29.978673934936523,0.4590741693973541,65.30246280026671
256,decoder.bias,output,29.978673934936523,0.17169806361198425,174.6011173899048
