param_name,scaling_exponent,intercept
decoder.bias,1.0817166929867643,-0.8230804391807738
decoder.weight,0.2840122143356642,2.732189811663834
encoder.bias,0.3821403742772714,21.932457795366325
encoder.weight,0.4465821656668355,1.9529105872674095
ssm_blocks[0].glu.w1.bias,1.1430416767400382,0.8177643610843749
ssm_blocks[0].glu.w1.weight,0.34747288115948044,1.8810107661439048
ssm_blocks[0].glu.w2.bias,0.9420897299264291,5.2098185980900995
ssm_blocks[0].glu.w2.weight,0.33918126959731215,5.160927514929615
ssm_blocks[0].ssm.B,0.4742078819823992,4.398626182801726
ssm_blocks[0].ssm.C,0.5209048348702524,7.652223569426711
ssm_blocks[0].ssm.D,1.0638379866478662,2.9531476621493007
ssm_blocks[0].ssm.Lambda_im,1.221589903136741,6.819457686947986
ssm_blocks[0].ssm.Lambda_re,0.24549673686633042,11.935880789653547
ssm_blocks[0].ssm.log_step,1.0601251898138104,2.1856437802964743
