param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,319935,0.00015138679,7.584895e-06,0.00018596822,9.412509e-05,0.00022528663,0.0025271724
muP_SSM,2,10,319935,0.0015163909,5.289138e-05,0.0018679537,0.0009549558,0.002180181,0.024116417
muP_SSM,2,100,319935,0.014919509,0.0004266022,0.01970704,0.010123753,0.01710721,0.15047559
muP_SSM,2,1,499896,0.000107303706,6.753034e-06,0.00022324627,0.00012977274,0.00022633426,0.0020172223
muP_SSM,2,10,499896,0.0010588381,6.362771e-05,0.0021760655,0.0012669341,0.0021783018,0.019172892
muP_SSM,2,100,499896,0.008970832,0.0005083068,0.018221114,0.010908809,0.0155094005,0.12050956
muP_SSM,2,1,230528,4.6172023e-05,3.3110148e-06,6.299775e-05,4.1481624e-05,0.00019350738,0.0023965868
muP_SSM,2,10,230528,0.00046560526,1.9032079e-05,0.00062742573,0.0004149664,0.0018533058,0.02274763
muP_SSM,2,100,230528,0.005355856,0.00020877844,0.0068678716,0.004447889,0.013190158,0.14343433
muP_SSM,2,1,870244,1.7049077e-05,1.3100552e-06,2.2874618e-05,8.393936e-06,7.017466e-05,0.0018492804
muP_SSM,2,10,870244,0.00016396721,5.0477192e-06,0.00020081348,7.578318e-05,0.00065859343,0.01745906
muP_SSM,2,100,870244,0.0013121491,3.5315545e-05,0.0019133447,0.00061215746,0.0040031625,0.101911135
muP_SSM,2,1,303982,2.3542982e-05,1.2611134e-06,3.9743278e-05,2.5922394e-05,0.00012797506,0.0022434352
muP_SSM,2,10,303982,0.00022313643,9.032623e-06,0.00038017973,0.00024923435,0.0012230214,0.021321237
muP_SSM,2,100,303982,0.0017983487,5.663913e-05,0.003105265,0.0020914935,0.008468095,0.13420187
muP_SSM,2,1,142925,6.7506604e-05,1.7718453e-06,7.764858e-05,4.4019685e-05,7.459681e-05,0.0013570355
muP_SSM,2,10,142925,0.0006725184,2.4158942e-05,0.00076391327,0.00043132564,0.0007109808,0.012809307
muP_SSM,2,100,142925,0.006466216,0.00023668476,0.0068797236,0.003838463,0.004954766,0.077842206
muP_SSM,2,1,127652,2.5445595e-05,1.5824395e-06,5.676052e-05,1.3083828e-05,5.329437e-05,0.00087427784
muP_SSM,2,10,127652,0.00025299616,1.0257248e-05,0.00057177234,0.00013188586,0.0005143963,0.008275973
muP_SSM,2,100,127652,0.0028942504,0.00015537796,0.0064751636,0.0013499957,0.0039018174,0.054459263
muP_SSM,2,1,683486,2.42185e-05,1.2786314e-06,3.582462e-05,2.224367e-05,3.3565928e-05,0.0004526056
muP_SSM,2,10,683486,0.00023696719,1.739366e-05,0.00034811586,0.00021844919,0.00032993255,0.004216757
muP_SSM,2,100,683486,0.0019996783,0.00014117912,0.0030193045,0.0020014506,0.002891415,0.02566363
muP_SSM,2,1,645902,6.51055e-05,5.127706e-06,8.0077814e-05,3.1584015e-05,0.00016936936,0.002552534
muP_SSM,2,10,645902,0.00062431284,3.2893597e-05,0.00076473114,0.00030029018,0.0015918905,0.023992987
muP_SSM,2,100,645902,0.004486597,0.00021127841,0.0056983903,0.0022780409,0.009432842,0.14070176
muP_SSM,2,1,305033,1.2776349e-05,4.4605613e-07,2.3054981e-05,1.1002412e-05,6.387885e-05,0.0007416604
muP_SSM,2,10,305033,0.00012259115,3.8963576e-06,0.0002166044,0.00010279654,0.0005970005,0.007028839
muP_SSM,2,100,305033,0.00079950737,1.8342706e-05,0.0017069358,0.000858526,0.0035772282,0.03930129
muP_SSM,4,1,319935,0.0002450063,1.0397582e-05,0.000341,0.00015470835,0.00038289715,0.0028737038
muP_SSM,4,10,319935,0.0023566717,9.237072e-05,0.0032518115,0.0014714707,0.0036133288,0.026889395
muP_SSM,4,100,319935,0.017173255,0.0006034708,0.022789963,0.010221149,0.02522011,0.1611885
muP_SSM,4,1,499896,7.220587e-05,2.9758473e-06,0.00012033512,5.495728e-05,9.435314e-05,0.00088244554
