param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,248248,2.15143e-05,0.00017323086,0.00038245195,0.011352763
muP_SSM,1,10,248248,0.00021178805,0.0017571748,0.0036429744,0.114485435
muP_SSM,1,100,248248,0.008674496,0.03528875,0.15636915,3.365421
muP_SSM,1,1,855255,2.7538192e-05,0.0001683262,0.0005667418,0.011813682
muP_SSM,1,10,855255,0.00028284593,0.0015631932,0.005627529,0.118803605
muP_SSM,1,100,855255,0.01947308,0.056853525,0.30489922,10.911122
muP_SSM,1,1,371749,3.7548492e-05,0.00032478684,0.0004497642,0.010945305
muP_SSM,1,10,371749,0.00042674027,0.003383707,0.0044689868,0.10968516
muP_SSM,1,100,371749,nan,nan,nan,nan
muP_SSM,1,1,361168,4.1283438e-05,0.00017761417,0.0005356131,0.011507213
muP_SSM,1,10,361168,0.00042709112,0.0018353951,0.005395533,0.116328925
muP_SSM,1,100,361168,0.009084548,0.03716915,0.109365426,2.3444324
muP_SSM,1,1,935601,3.4336685e-05,0.00016860447,0.00046092883,0.011126624
muP_SSM,1,10,935601,0.00034607144,0.0017264999,0.00457292,0.11188741
muP_SSM,1,100,935601,0.023880437,0.1365287,0.24522129,6.479696
muP_SSM,1,1,579757,1.0839598e-05,6.119396e-05,0.00034913933,0.012217607
muP_SSM,1,10,579757,0.00012449698,0.00067856436,0.0035441502,0.12277271
muP_SSM,1,100,579757,0.019251125,0.076926924,0.26433545,8.650698
muP_SSM,1,1,33933,3.5555462e-05,9.35721e-05,0.00032353174,0.010676026
muP_SSM,1,10,33933,0.00037612076,0.001088174,0.003685236,0.10931197
muP_SSM,1,100,33933,0.04306435,0.24259688,0.6155715,14.308365
muP_SSM,1,1,105533,2.5467367e-05,0.00019088687,0.0005574658,0.012376044
muP_SSM,1,10,105533,0.00028663556,0.0019702462,0.0057160594,0.12612715
muP_SSM,1,100,105533,nan,nan,nan,nan
muP_SSM,1,1,868204,2.0556556e-05,0.00010245248,0.00037233086,0.011354849
muP_SSM,1,10,868204,0.00019638684,0.00092279894,0.0034114593,0.11305173
muP_SSM,1,100,868204,0.0012075305,0.010548555,0.08422023,1.7764518
muP_SSM,1,1,31785,3.57584e-05,0.00010320713,0.00034151788,0.010641269
muP_SSM,1,10,31785,0.00036819157,0.0010485947,0.0033695267,0.10640046
muP_SSM,1,100,31785,0.0053516235,0.02345811,0.074921034,1.8521715
muP_SSM,2,1,248248,2.5041149e-05,0.00014397613,0.0003867061,0.010720737
muP_SSM,2,10,248248,0.00025297658,0.0014103652,0.0038339824,0.10728152
muP_SSM,2,100,248248,0.015301541,0.068979815,0.14178276,3.0278938
muP_SSM,2,1,855255,3.3508353e-05,0.00015698586,0.0005221374,0.011122666
muP_SSM,2,10,855255,0.00034275354,0.0015953572,0.0052038403,0.1118156
muP_SSM,2,100,855255,0.031290393,0.10893607,0.24753988,7.3452225
muP_SSM,2,1,371749,4.737134e-05,0.00019995982,0.0005266896,0.010755295
muP_SSM,2,10,371749,0.00048181255,0.001968955,0.0052814204,0.107939795
muP_SSM,2,100,371749,nan,nan,nan,nan
muP_SSM,2,1,361168,3.7470723e-05,0.0001952252,0.00052382407,0.011029594
muP_SSM,2,10,361168,0.00038160544,0.0020062684,0.0053037982,0.11165385
muP_SSM,2,100,361168,0.07834352,0.25583294,0.71339154,20.77868
muP_SSM,2,1,935601,2.6850243e-05,0.00013327951,0.00040356742,0.010632124
muP_SSM,2,10,935601,0.00027871894,0.0013757981,0.003964714,0.10605804
muP_SSM,2,100,935601,0.0066472474,0.02787603,0.06927164,1.5510559
muP_SSM,2,1,579757,3.3143293e-05,0.00014043761,0.0004079613,0.011224691
muP_SSM,2,10,579757,0.00033618973,0.0013826127,0.003990495,0.11213413
muP_SSM,2,100,579757,0.016144978,0.057270024,0.14061317,3.215596
