param_name,scaling_exponent,intercept
decoder.bias,-0.7746951567248028,5.376820471780527
decoder.weight,-1.5343787186554605,4.0372363328850165
encoder.bias,0.9437488357870459,18.468666884458408
encoder.weight,0.9743754125051519,1.5031343610823407
ssm_blocks[0].glu.w1.bias,1.0209441334198022,4.17712159195583
ssm_blocks[0].glu.w1.weight,0.005851185904208651,2.699250409025165
ssm_blocks[0].glu.w2.bias,1.0126782471413815,5.130804434261855
ssm_blocks[0].glu.w2.weight,-0.08635731630230836,4.558523630964039
ssm_blocks[0].ssm.B,0.547611960287551,4.898896686694916
ssm_blocks[0].ssm.C,-0.03551679586599749,4.433776050334585
ssm_blocks[0].ssm.D,1.047076878494676,4.532740813947771
ssm_blocks[0].ssm.Lambda_im,0.516447068562384,8.006832461692946
ssm_blocks[0].ssm.Lambda_re,0.5456956353185256,7.764643170244963
ssm_blocks[0].ssm.log_step,-0.07528376377418612,5.216050317720263
