width,param_name,target_layer,norm_x,norm_dx,ideal_eta
64,encoder.weight,post_encoder,6.661075592041016,1.44752037525177,4.601714560515756
64,encoder.bias,post_encoder,6.661075592041016,7.413839853143145e-08,88650752.77395743
64,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,10.717141151428223,0.003717551939189434,2882.848294761597
64,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,10.717141151428223,0.0029795533046126366,3596.8940505085134
64,ssm_blocks[0].ssm.B,ssm_state_0,10.717141151428223,0.061829786747694016,173.33297657694007
64,ssm_blocks[0].ssm.C,ssm_output_0,24.196544647216797,0.3125978708267212,77.40470050490103
64,ssm_blocks[0].ssm.D,ssm_output_0,24.196544647216797,0.22425279021263123,107.89852164771587
64,ssm_blocks[0].ssm.log_step,ssm_state_0,10.717141151428223,0.06968123465776443,153.802398167347
64,ssm_blocks[0].glu.w1.weight,ssm_post_glu_0,5.098460674285889,0.3155163824558258,16.15909962722967
64,ssm_blocks[0].glu.w1.bias,ssm_post_glu_0,5.098460674285889,0.08551398664712906,59.62136504877466
64,ssm_blocks[0].glu.w2.weight,ssm_post_glu_0,5.098460674285889,0.06333601474761963,80.49860121612568
64,ssm_blocks[0].glu.w2.bias,ssm_post_glu_0,5.098460674285889,0.03062061406672001,166.50418886677252
64,decoder.weight,output,0.12470697611570358,0.020613202825188637,6.049858972592891
64,decoder.bias,output,0.12470697611570358,0.019636953249573708,6.350627216968274
128,encoder.weight,post_encoder,9.601412773132324,2.57778000831604,3.7246827651828434
128,encoder.bias,post_encoder,9.601412773132324,1.2818442485240666e-07,74323300.07353401
128,ssm_blocks[0].ssm.Lambda_re,ssm_state_0,18.746074676513672,0.004916532896459103,3812.863914151925
128,ssm_blocks[0].ssm.Lambda_im,ssm_state_0,18.746074676513672,0.005522575695067644,3394.4435200431485
128,ssm_blocks[0].ssm.B,ssm_state_0,18.746074676513672,0.12059865146875381,155.44182536675223
128,ssm_blocks[0].ssm.C,ssm_output_0,40.67987823486328,0.5710517764091492,71.23675968478217
128,ssm_blocks[0].ssm.D,ssm_output_0,40.67987823486328,0.3365623950958252,120.86875630419807
128,ssm_blocks[0].ssm.log_step,ssm_state_0,18.746074676513672,0.11079233139753342,169.2001086253061
128,ssm_blocks[0].glu.w1.weight,ssm_post_glu_0,8.71036148071289,0.5335512757301331,16.325256560333447
128,ssm_blocks[0].glu.w1.bias,ssm_post_glu_0,8.71036148071289,0.10885731875896454,80.01631401544388
128,ssm_blocks[0].glu.w2.weight,ssm_post_glu_0,8.71036148071289,0.12476598471403122,69.81359086664372
128,ssm_blocks[0].glu.w2.bias,ssm_post_glu_0,8.71036148071289,0.04822865128517151,180.605533598769
128,decoder.weight,output,0.1060924157500267,0.02192763239145279,4.838297588073534
128,decoder.bias,output,0.1060924157500267,0.012090791016817093,8.774645664441392
