param_type,width_multiplier,step,rng_seed,conv_layers.0,conv_layers.1,conv_layers.2,logits
muP_SSM,1,1,851885,0.0008226043,0.002290007,0.0013152403,0.0075591505
muP_SSM,1,10,851885,0.0075149536,0.025641585,0.016020106,0.09472966
muP_SSM,1,100,851885,0.14643766,0.4330061,1.9358501,40.10238
muP_SSM,1,1,433942,0.0006425691,0.0025723977,0.0015352878,0.0070370324
muP_SSM,1,10,433942,0.0056347116,0.025208998,0.018877935,0.09179349
muP_SSM,1,100,433942,0.10263403,1.4616892,4.1981096,75.59592
muP_SSM,1,1,209743,0.00077657576,0.002401439,0.0011485999,0.008252682
muP_SSM,1,10,209743,0.007574179,0.026374254,0.013319362,0.09247434
muP_SSM,1,100,209743,0.1433266,1.3923881,7.280023,152.25758
muP_SSM,1,1,10368,0.0013884595,0.0027466726,0.0012503797,0.0065688193
muP_SSM,1,10,10368,0.013237175,0.026185902,0.0139812315,0.07255255
muP_SSM,1,100,10368,0.29072392,1.6738694,8.089576,158.58339
muP_SSM,1,1,203110,0.0010881143,0.0023491117,0.0015264986,0.0071111154
muP_SSM,1,10,203110,0.011184447,0.023329496,0.017064745,0.08347694
muP_SSM,1,100,203110,0.17921086,1.9259257,15.13373,295.04062
muP_SSM,1,1,611666,0.001046556,0.002062328,0.0014228169,0.008658785
muP_SSM,1,10,611666,0.009354092,0.022180606,0.016645316,0.09057956
muP_SSM,1,100,611666,0.1685109,1.0207629,5.342696,104.120186
muP_SSM,1,1,97320,0.00089683494,0.0021244064,0.0013884852,0.007679212
muP_SSM,1,10,97320,0.008589137,0.020141412,0.012371676,0.08247881
muP_SSM,1,100,97320,0.14238942,1.0598348,4.767067,85.48664
muP_SSM,1,1,80432,0.0007715116,0.0013285666,0.0012163888,0.006351389
muP_SSM,1,10,80432,0.006106013,0.011067081,0.01187451,0.065283194
muP_SSM,1,100,80432,0.15210249,1.0352701,5.532464,108.65305
muP_SSM,1,1,422947,0.0008716924,0.002893994,0.0016884378,0.008569457
muP_SSM,1,10,422947,0.00783758,0.031539936,0.019309865,0.10154642
muP_SSM,1,100,422947,0.18216802,2.242873,8.061445,157.88104
muP_SSM,1,1,618956,0.0010533503,0.0032625557,0.0014821049,0.0070664734
muP_SSM,1,10,618956,0.0087873675,0.030526316,0.013735181,0.07075905
muP_SSM,1,100,618956,0.16249052,1.6358196,3.7550924,70.77232
muP_SSM,2,1,851885,0.00091138785,0.0025518865,0.0014714124,0.007379785
muP_SSM,2,10,851885,0.007881945,0.025622888,0.017465942,0.08463641
muP_SSM,2,100,851885,0.16023277,1.08488,6.0454736,116.77184
muP_SSM,2,1,433942,0.0006675907,0.0025279105,0.0015780167,0.0069226585
muP_SSM,2,10,433942,0.0058426443,0.027848199,0.019319268,0.09028451
muP_SSM,2,100,433942,0.1101156,1.3159411,3.6717696,70.693726
muP_SSM,2,1,209743,0.00073314935,0.0027207234,0.0014804034,0.0076885894
muP_SSM,2,10,209743,0.006990706,0.026497198,0.015913203,0.083716094
muP_SSM,2,100,209743,0.12483036,0.84195864,3.8170826,75.51436
muP_SSM,2,1,10368,0.0010569381,0.00288189,0.0011413997,0.005817998
muP_SSM,2,10,10368,0.009662684,0.03128771,0.013912963,0.0703689
