param_type,width_multiplier,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,ssm_state_1,ssm_output_1,ssm_post_gelu_1,ssm_post_glu_1,output
muP_SSM,32,3,0.13117206,0.15478583,1.0696995,0.65101576,0.32527077,0.2188316,0.91787964,0.512494,0.2559993,0.40236503
muP_SSM,32,4,0.14976868,0.18926765,1.0013214,0.57742554,0.29454994,0.19727904,0.937954,0.49663597,0.25753298,0.42532423
muP_SSM,32,5,0.1446619,0.16134223,0.83236295,0.47841406,0.2464069,0.19262868,1.0331485,0.521905,0.26881367,0.4115672
muP_SSM,32,6,0.15411349,0.15288799,1.0310594,0.5415653,0.26507288,0.17353421,0.8311923,0.44895324,0.22375686,0.3680319
muP_SSM,32,7,0.13445772,0.14966694,0.6980151,0.3989382,0.2181176,0.18371946,0.9882604,0.47611284,0.2303574,0.3749436
muP_SSM,32,8,0.124529,0.12880148,0.6801712,0.3856106,0.19517933,0.17432147,0.98920965,0.5549909,0.2645508,0.39547852
muP_SSM,32,9,0.14586475,0.15389472,0.92585844,0.49539393,0.26475117,0.20211524,1.0502975,0.5301229,0.25868738,0.3900133
muP_SSM,64,0,0.13552102,0.15034631,0.89378154,0.48889118,0.23932545,0.15912709,1.1978292,0.61021537,0.28399107,0.41487727
muP_SSM,64,1,0.12997197,0.13809499,0.9507171,0.5466781,0.26847097,0.19110362,1.1659585,0.6197137,0.29965153,0.42086986
muP_SSM,64,2,0.12820458,0.13782923,0.8196911,0.4497216,0.22830886,0.17472076,1.2861924,0.6441242,0.31374788,0.43707985
muP_SSM,64,3,0.13004646,0.13592075,1.1695992,0.63643575,0.29118302,0.17358191,1.2163923,0.65307873,0.30636197,0.42292607
muP_SSM,64,4,0.12710653,0.1637048,1.1542993,0.631485,0.29537588,0.21647888,1.3571044,0.7216159,0.34159735,0.4607215
muP_SSM,64,5,0.13105148,0.15345424,1.1009766,0.5987561,0.28931388,0.1964907,1.2380636,0.65884155,0.31232864,0.446446
muP_SSM,64,6,0.14013143,0.1236725,0.8174876,0.44978744,0.22635487,0.19967088,1.3182127,0.67107177,0.31265968,0.4276216
muP_SSM,64,7,0.120613724,0.1476837,0.9246734,0.5026279,0.24198656,0.18659441,1.2757312,0.6779634,0.30190405,0.42251503
muP_SSM,64,8,0.121268004,0.14350979,1.0710692,0.57078433,0.2585947,0.17542732,1.2477031,0.6378791,0.28911135,0.40859488
muP_SSM,64,9,0.13018969,0.12841551,0.6614492,0.36571386,0.19706883,0.16147861,1.282008,0.641113,0.30465636,0.41305068
muP_SSM,128,0,0.11615275,0.15397522,1.6799047,0.8991463,0.41485572,0.28179833,1.8435546,0.9408719,0.3850078,0.38565716
muP_SSM,128,1,0.10473289,0.12999848,1.074368,0.59304196,0.26721734,0.1848699,1.7287481,0.9061061,0.3755597,0.38595694
muP_SSM,128,2,0.12765135,0.15233693,1.3188915,0.7159057,0.34004277,0.19265154,1.4093078,0.72227234,0.33881813,0.43082884
muP_SSM,128,3,0.11197559,0.13481286,1.4501971,0.7726534,0.34956115,0.21249793,1.804476,0.9384274,0.38940567,0.3829797
muP_SSM,128,4,0.12444709,0.1479174,1.3507733,0.7346431,0.35286728,0.21217935,1.4344909,0.7434933,0.3406604,0.4447477
muP_SSM,128,5,0.11911145,0.12647007,0.8399122,0.45596108,0.2079312,0.1423392,1.5345279,0.79003537,0.3647346,0.44661903
muP_SSM,128,6,0.10369849,0.13223627,1.0333881,0.5674054,0.25914922,0.178413,1.6286615,0.8594438,0.37034455,0.39319468
muP_SSM,128,7,0.108159065,0.12642959,1.1156162,0.6072829,0.27688342,0.18064304,1.5800171,0.82799816,0.36426407,0.38409477
muP_SSM,128,8,0.10132025,0.107035205,0.944621,0.5082388,0.22715685,0.17987745,1.7475457,0.8941855,0.36477798,0.39370516
muP_SSM,128,9,0.11796423,0.11803608,0.9235189,0.49670655,0.23622349,0.15907419,1.5864505,0.82397676,0.3691757,0.40450913
muP_SSM,256,0,0.09701333,0.14359961,1.5564494,0.8388065,0.37713018,0.22327492,1.9644792,1.0146277,0.42674202,0.39134708
muP_SSM,256,1,0.090130396,0.109617926,1.2220945,0.64591473,0.2747612,0.1561758,1.9573108,1.0216255,0.4212274,0.38855597
muP_SSM,256,2,0.080222465,0.09950079,0.8564765,0.4628833,0.19740817,0.107851215,1.9868484,1.022271,0.42908102,0.39270598
muP_SSM,256,3,0.081201226,0.11434082,1.2778263,0.7013107,0.2966204,0.16820766,2.2039287,1.1657251,0.48563308,0.3936431
muP_SSM,256,4,0.10590259,0.13057508,1.6344393,0.83817494,0.36177436,0.18892595,1.7916397,0.9335928,0.3972341,0.39844844
muP_SSM,256,5,0.11415741,0.12395577,1.178067,0.633258,0.28681126,0.16403005,1.6756598,0.85270566,0.37011313,0.41111284
muP_SSM,256,6,0.09974096,0.11673149,1.5552591,0.8675761,0.38001433,0.21561879,2.225101,1.1608311,0.47707516,0.39908072
muP_SSM,256,7,0.09825715,0.12878858,1.5365945,0.84745777,0.37033468,0.20629686,2.0032601,1.0471822,0.43387312,0.3844247
muP_SSM,256,8,0.07788748,0.10806694,1.5748073,0.8746269,0.3730315,0.22167094,2.2839937,1.1888932,0.4791926,0.39302704
muP_SSM,256,9,0.0988645,0.107405536,1.1605084,0.60656226,0.2559769,0.15651642,1.7276508,0.9058313,0.38546973,0.3767935
muP_3,2,0,0.18421608,0.27820748,0.7863693,0.35583672,0.25556606,0.08090214,0.38575903,0.23086868,0.15337934,0.36039025
muP_3,2,1,0.2539264,0.13684249,0.46784195,0.26817653,0.31844807,0.15957563,0.6073522,0.33475986,0.22919048,0.46367922
muP_3,2,2,0.26561227,0.22598805,0.75659543,0.50221956,0.38035914,0.17114255,0.696405,0.35425457,0.21830593,0.53989136
muP_3,2,3,0.26881468,0.22451736,0.74198836,0.35721904,0.32837614,0.13041764,0.57134444,0.26370057,0.18076523,0.4103713
muP_3,2,4,0.239398,0.20693222,0.63377434,0.41154984,0.39410827,0.14835025,0.6620759,0.3495462,0.26702124,0.61186343
muP_3,2,5,0.2426395,0.17619447,0.5424618,0.32330915,0.2563283,0.19325387,0.7049098,0.353643,0.2466507,0.5075173
muP_3,2,6,0.26625878,0.15752237,0.50163573,0.32399267,0.33140624,0.20861232,0.7741626,0.3851721,0.25591454,0.4811602
muP_3,2,7,0.2621133,0.26908854,0.63156945,0.2776999,0.2949086,0.13055682,0.40558454,0.17005989,0.12999938,0.24980396
muP_3,2,8,0.21974239,0.1720082,0.61969715,0.35080275,0.2713709,0.12175497,0.3866599,0.24668506,0.16473444,0.33616817
muP_3,2,9,0.22041729,0.13013554,0.46153006,0.24422553,0.22392753,0.12707339,0.43377876,0.24784034,0.2043787,0.4219631
muP_3,4,0,0.20555095,0.1794161,0.647249,0.410057,0.30808184,0.12422273,0.5088694,0.2882489,0.19179684,0.38978562
muP_3,4,1,0.28788844,0.18661228,0.5631564,0.34811062,0.3143575,0.118722595,0.52592665,0.26905468,0.21700358,0.45127058
muP_3,4,2,0.22708726,0.2256683,0.7498097,0.51545376,0.39738503,0.13832866,0.65467495,0.33282444,0.20785342,0.4662049
muP_3,4,3,0.21495682,0.12056736,0.5246704,0.2985096,0.22548908,0.08811249,0.5098268,0.28190166,0.18632793,0.3834217
muP_3,4,4,0.25165242,0.19061266,0.69601727,0.47286737,0.3739898,0.119789675,0.6024363,0.35340667,0.2813884,0.580501
muP_3,4,5,0.27499,0.17951797,0.5758675,0.31177974,0.29018688,0.17823738,0.7122453,0.36047193,0.2569126,0.5190744
muP_3,4,6,0.23806088,0.15627615,0.5281655,0.32261357,0.2887857,0.15169673,0.6580263,0.35398972,0.21515295,0.46029028
muP_3,4,7,0.23850824,0.1454151,0.52131766,0.29507166,0.27185568,0.113831624,0.448821,0.25376704,0.20167324,0.39550337
muP_3,4,8,0.2307268,0.1665087,0.57305396,0.34567803,0.31573245,0.1130354,0.5217735,0.2343372,0.15763028,0.40221807
muP_3,4,9,0.26398224,0.13390094,0.47437224,0.2776843,0.24847603,0.11397955,0.6083307,0.25823656,0.19093156,0.38023475
muP_3,8,0,0.26993558,0.16500503,0.6648321,0.37178344,0.32975358,0.08382569,0.45449835,0.23425014,0.19781093,0.46220896
muP_3,8,1,0.26352957,0.14781147,0.624201,0.40073898,0.3568421,0.0979611,0.51120853,0.26216343,0.22494525,0.4802651
muP_3,8,2,0.2676923,0.12511516,0.57656884,0.35808563,0.30793542,0.1138584,0.5497437,0.2595081,0.19935276,0.48112234
muP_3,8,3,0.24430366,0.1626433,0.6358807,0.34776407,0.2742007,0.09634728,0.48316935,0.2680792,0.20695068,0.45170474
muP_3,8,4,0.2649776,0.17077026,0.69022584,0.40857428,0.35205206,0.091965884,0.55933213,0.31783825,0.2431093,0.5787671
muP_3,8,5,0.27166182,0.12633325,0.5685624,0.34467492,0.30114907,0.09970765,0.48427558,0.2706554,0.23215121,0.51142025
muP_3,8,6,0.27198476,0.09300957,0.42919433,0.23606518,0.23334289,0.07642074,0.41739538,0.22292432,0.1926126,0.43580872
muP_3,8,7,0.2614882,0.1328349,0.56294847,0.3057809,0.26868802,0.091009386,0.4497385,0.2607784,0.20836955,0.45941368
muP_3,8,8,0.25448608,0.12056549,0.5278009,0.31315008,0.2394008,0.07730006,0.38164645,0.2092281,0.15380791,0.3649968
muP_3,8,9,0.261981,0.1373591,0.53299147,0.31485718,0.31180042,0.090628624,0.49258208,0.24816522,0.19940951,0.4658866
muP_3,16,0,0.27550673,0.09370983,0.46921134,0.27470985,0.2532651,0.051460866,0.33276352,0.18187897,0.15751947,0.39602068
muP_3,16,1,0.2831036,0.08547553,0.4275386,0.26272255,0.22740234,0.06060878,0.44235817,0.25368404,0.21211211,0.47019354
