param_type,width_multiplier,rng_seed,output,post_encoder,ssm_output_0,ssm_output_1,ssm_post_gelu_0,ssm_post_gelu_1,ssm_post_glu_0,ssm_post_glu_1,ssm_state_0,ssm_state_1
muP_3,256.0,2,0.28469074,0.45345005,0.4510524,0.24981873,0.24625224,0.13276982,0.19609877,0.113863334,0.019828558,0.008269671
muP_3,256.0,3,0.30001584,0.44691867,0.5220269,0.2592284,0.28903282,0.1360277,0.21940883,0.11489286,0.02514079,0.010246662
standard,0.5,0,0.37735638,0.4746382,0.82814324,0.42568955,0.40235075,0.21110299,0.3154749,0.19792682,0.40721402,0.14793058
standard,0.5,1,0.3495462,0.54815316,0.9329788,0.57621175,0.760573,0.31515074,0.5760525,0.2519996,0.47298518,0.19589752
standard,0.5,2,0.22760157,0.3437345,0.40663752,0.51042014,0.25993827,0.24234924,0.2366641,0.20113996,0.15232141,0.17777759
standard,0.5,3,0.3329014,0.29507598,0.4629997,0.39459518,0.254151,0.21390346,0.14552562,0.15113077,0.15631063,0.15410376
standard,1.0,0,0.3132133,0.3846379,1.0052065,0.5147721,0.24204013,0.21575965,0.22381176,0.1822611,0.36555892,0.12924011
standard,1.0,1,0.35272428,0.37471938,0.99140865,0.5619578,0.5888301,0.34574515,0.28720957,0.17223091,0.29419616,0.16777755
standard,1.0,2,0.42811897,0.43555656,0.8268025,0.6102143,0.4570655,0.37264258,0.33343893,0.2666033,0.26362574,0.16211285
standard,1.0,3,0.42143658,0.33818904,0.51033217,0.332957,0.29962635,0.20789939,0.20594287,0.16142696,0.13251077,0.105708495
standard,2.0,0,0.37241843,0.403098,0.96475536,0.32035038,0.39688504,0.18457627,0.23705085,0.12192993,0.32325915,0.06900907
standard,2.0,1,0.45077023,0.4487065,0.57760423,0.5410824,0.34456915,0.2865698,0.3496748,0.17670713,0.15361153,0.1289496
standard,2.0,2,0.4581305,0.39018607,0.88253677,0.5687254,0.49252436,0.27547407,0.33094615,0.16399316,0.23108217,0.13805877
standard,2.0,3,0.44920367,0.43041313,0.8926742,0.49659213,0.38053724,0.21804343,0.3007538,0.1451136,0.25715303,0.11227184
standard,4.0,0,0.36537945,0.37935337,0.6716202,0.33226645,0.4037968,0.18051693,0.23451489,0.10562258,0.18073907,0.08110544
standard,4.0,1,0.46747795,0.46098223,0.57818955,0.36935493,0.34692007,0.18835112,0.25470012,0.14025189,0.16675133,0.08355644
standard,4.0,2,0.3836111,0.3763662,0.7699145,0.44130194,0.4816456,0.20542789,0.2938277,0.11649704,0.23149629,0.0898891
standard,4.0,3,0.39317438,0.4084684,0.6181901,0.35079467,0.33467528,0.18873467,0.1977206,0.105593085,0.14017195,0.06049604
standard,8.0,0,0.47284317,0.37243843,0.6225265,0.2673558,0.32271263,0.1363608,0.2256158,0.093529165,0.153457,0.048101444
standard,8.0,1,0.45013526,0.396431,0.60186225,0.2856155,0.34632486,0.1373902,0.22620326,0.09675569,0.13472588,0.052363355
standard,8.0,2,0.46527898,0.3666024,0.5426671,0.30136937,0.30181557,0.13969192,0.20139323,0.09565218,0.10518592,0.059016652
standard,8.0,3,0.43719232,0.40325132,0.60128343,0.24643797,0.29061326,0.1334586,0.17526908,0.093735896,0.14654894,0.04522855
standard,16.0,0,0.475389,0.38474137,0.44161215,0.17997909,0.24400374,0.09181847,0.16213909,0.06855538,0.07174922,0.024296874
standard,16.0,1,0.44231367,0.37714392,0.3829875,0.19501415,0.21793552,0.10344009,0.13072155,0.07023471,0.06269659,0.025706539
standard,16.0,2,0.49114248,0.40133408,0.49792564,0.22491693,0.265,0.11447004,0.18387267,0.08055534,0.0814364,0.037375312
standard,16.0,3,0.43058857,0.37021363,0.46132228,0.17794542,0.2453337,0.09433452,0.15210985,0.062841974,0.061609354,0.023680424
standard,32.0,0,0.45561603,0.36623153,0.39546362,0.15134075,0.21604058,0.07603436,0.13338296,0.049905032,0.04511402,0.015456401
standard,32.0,1,0.44338953,0.36259037,0.38631454,0.1384727,0.20732482,0.071153514,0.12680227,0.049773414,0.04681919,0.014668028
standard,32.0,2,0.46591827,0.37175232,0.37019202,0.14945555,0.19412948,0.0765041,0.11964435,0.051354963,0.041524652,0.017583376
standard,32.0,3,0.4353033,0.3523416,0.40861097,0.13064848,0.21847522,0.06714914,0.12111065,0.046821613,0.044414133,0.012604769
standard,64.0,0,0.45869932,0.3623622,0.35040015,0.102329575,0.17786026,0.051354274,0.1045908,0.037303083,0.030097323,0.007258146
standard,64.0,1,0.45368248,0.35582596,0.34227663,0.0942673,0.17511365,0.047880266,0.09825093,0.035308838,0.027269019,0.006845077
standard,64.0,2,0.45198277,0.34976286,0.32197982,0.11196052,0.17338216,0.056471538,0.102772936,0.037994705,0.024338434,0.008742141
standard,64.0,3,0.44604287,0.35389143,0.3370954,0.09774792,0.16965331,0.04909039,0.09605609,0.035082612,0.025939798,0.006713206
standard,128.0,0,0.43271413,0.34114382,0.30547965,0.07305329,0.15232664,0.036606092,0.07721228,0.025564995,0.018172275,0.0038547395
standard,128.0,1,0.44071203,0.3336983,0.29175457,0.073645756,0.14354451,0.03666788,0.07567146,0.025998592,0.015466858,0.0038774568
standard,128.0,2,0.43884265,0.33613676,0.2965769,0.071791746,0.15407711,0.035788402,0.08043574,0.025919227,0.01585783,0.0031810184
standard,128.0,3,0.43468505,0.34073928,0.30889168,0.07119861,0.15331239,0.035245553,0.07891318,0.024837809,0.015912144,0.0034208489
standard,256.0,0,0.42115387,0.32122466,0.26968777,0.053004865,0.13258924,0.026541166,0.06235734,0.017985085,0.00992609,0.0016983798
standard,256.0,1,0.42468363,0.31625423,0.26135525,0.05475724,0.12728019,0.027389137,0.061803497,0.018335488,0.008440255,0.0018165975
standard,256.0,2,0.4189913,0.3195232,0.26731318,0.058469143,0.13179378,0.029552681,0.064854756,0.018998703,0.008532869,0.0017088926
standard,256.0,3,0.4226607,0.31900713,0.27117866,0.054803286,0.1329801,0.027288908,0.063094385,0.017957175,0.009430353,0.001742281
