param_type,width_multiplier,step,rng_seed,layers.0,layers.1,logits
muP_SSM,8,100,603113,0.8177685,0.6316201,1.4672176
muP_SSM,8,1,998391,0.15069021,0.11454559,0.031834356
muP_SSM,8,10,998391,0.5329611,0.33881593,0.48002127
muP_SSM,8,100,998391,0.79269093,0.5409399,1.2845224
muP_SSM,16,1,190996,0.22027439,0.13346602,0.095129855
muP_SSM,16,10,190996,0.8392813,0.4432542,0.5897933
muP_SSM,16,100,190996,0.8231349,0.53298783,1.1188428
muP_SSM,16,1,24252,0.15725893,0.100350484,0.07407472
muP_SSM,16,10,24252,0.68102443,0.3755784,0.57171416
muP_SSM,16,100,24252,0.84112215,0.57493126,1.4320688
muP_SSM,16,1,832162,0.18061861,0.10884952,0.008864298
muP_SSM,16,10,832162,0.7132194,0.39943418,0.47865367
muP_SSM,16,100,832162,0.82569814,0.57217,1.2958323
muP_SSM,16,1,672165,0.24847586,0.16185167,0.22811258
muP_SSM,16,10,672165,0.85244316,0.4351011,0.61241686
muP_SSM,16,100,672165,0.81790674,0.5626128,1.3677653
muP_SSM,16,1,274641,0.16832459,0.09787649,0.016343743
muP_SSM,16,10,274641,0.7462162,0.41453028,0.4609751
muP_SSM,16,100,274641,0.8054701,0.5496099,1.2118934
muP_SSM,16,1,527917,0.17824745,0.10945083,0.071872585
muP_SSM,16,10,527917,0.6674424,0.34790194,0.4844673
muP_SSM,16,100,527917,0.81128156,0.5019859,1.1431285
muP_SSM,16,1,212386,0.15796527,0.09608798,0.045217723
muP_SSM,16,10,212386,0.60991514,0.33852372,0.45432636
muP_SSM,16,100,212386,0.82851386,0.5451273,1.3441229
muP_SSM,16,1,149552,0.19257867,0.12996852,0.100893624
muP_SSM,16,10,149552,0.786374,0.42205268,0.4905191
muP_SSM,16,100,149552,0.8048131,0.57070553,1.2673227
muP_SSM,16,1,603113,0.12922856,0.08463467,0.03950616
muP_SSM,16,10,603113,0.56168824,0.33601797,0.3992172
muP_SSM,16,100,603113,0.80958605,0.59807116,1.3609891
muP_SSM,16,1,998391,0.14023572,0.08936794,0.012672495
muP_SSM,16,10,998391,0.52366686,0.31650138,0.40002283
muP_SSM,16,100,998391,0.82699263,0.55987453,1.244312
muP_SSM,32,1,190996,0.24451043,0.14880729,0.12820952
muP_SSM,32,10,190996,0.85974896,0.44939935,0.55884373
muP_SSM,32,100,190996,0.8374419,0.5220938,1.1665108
muP_SSM,32,1,24252,0.16900772,0.10791286,0.070924304
muP_SSM,32,10,24252,0.6626768,0.37748325,0.48420143
muP_SSM,32,100,24252,0.83832455,0.5556314,1.2048148
muP_SSM,32,1,832162,0.18281797,0.11372194,0.030745506
muP_SSM,32,10,832162,0.72109663,0.39809114,0.50089365
muP_SSM,32,100,832162,0.8570105,0.59433126,1.3493328
muP_SSM,32,1,672165,0.22237453,0.13793874,0.16913041
muP_SSM,32,10,672165,0.8442952,0.44365615,0.605617
muP_SSM,32,100,672165,0.7820753,0.56055605,1.3519288
muP_SSM,32,1,274641,0.1803731,0.10876427,0.030790046
muP_SSM,32,10,274641,0.7304715,0.40131748,0.505741
muP_SSM,32,100,274641,0.817258,0.5660217,1.2015973
