param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,880995,0.6998566,0.0030771592,0.41739258,0.23287025,0.099186346,0.21545587
muP_SSM,2,10,880995,0.70001596,0.0030775575,0.42249542,0.23536967,0.10149697,0.13524702
muP_SSM,2,100,880995,0.70027876,0.0030723778,0.45368043,0.25635082,0.13020252,0.25016665
muP_SSM,2,1000,880995,0.6850977,0.0029533491,0.49998185,0.35505897,0.22226326,0.41068202
muP_SSM,2,1,569100,0.42093936,0.0016620557,0.29741865,0.20701909,0.20108064,0.21613558
muP_SSM,2,10,569100,0.42090088,0.0016573101,0.2983214,0.20787297,0.20347448,0.22737928
muP_SSM,2,100,569100,0.4206174,0.0016205308,0.309964,0.21892045,0.22300959,0.2824138
muP_SSM,2,1000,569100,0.41987196,0.0015885198,0.37601197,0.28298405,0.30466506,0.2764803
muP_SSM,2,1,868605,0.67085725,0.0011183608,0.28165093,0.21409594,0.21725188,0.26506796
muP_SSM,2,10,868605,0.67088926,0.0011185938,0.28288135,0.2155507,0.21760002,0.22924195
muP_SSM,2,100,868605,0.67105514,0.0011194266,0.29466918,0.2287123,0.2240039,0.051038742
muP_SSM,2,1000,868605,0.6863555,0.0011856764,0.47054425,0.37644765,0.30348825,0.12673011
muP_SSM,2,1,465805,0.7204109,0.0035513337,0.7444133,0.6333965,0.17288895,0.29685158
muP_SSM,2,10,465805,0.72043055,0.003549636,0.74200696,0.63085365,0.1677908,0.27270105
muP_SSM,2,100,465805,0.7207469,0.0035392516,0.7292835,0.6176597,0.1440684,0.1651179
muP_SSM,2,1000,465805,0.7118717,0.0034247243,0.8429953,0.756381,0.31656775,0.110726215
muP_SSM,2,1,671753,0.67285985,0.0025216118,0.52306634,0.3687954,0.075897686,0.51262176
muP_SSM,2,10,671753,0.6731705,0.002527411,0.5236776,0.36886242,0.07126998,0.45552942
muP_SSM,2,100,671753,0.6759221,0.002556638,0.5309481,0.37156048,0.057181407,0.17795064
