param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,4,100,686609,0.5969232,0.26708385,0.8421615,0.33286455,0.14917214,0.20801571
muP_SSM,4,1000,686609,0.55283064,0.49924165,1.2081935,0.79452664,0.38085994,0.2210093
muP_SSM,4,1,436241,0.83015126,0.3670869,0.87775254,0.5716424,0.13826968,0.046462543
muP_SSM,4,10,436241,0.8301007,0.3677212,0.8758816,0.5714501,0.1392716,0.040418778
muP_SSM,4,100,436241,0.82997596,0.37707767,0.8676041,0.5772546,0.15751226,0.02522157
muP_SSM,4,1000,436241,0.82861865,0.49344882,0.91220987,0.6918553,0.3069996,0.27354383
muP_SSM,4,1,797459,0.65905744,0.34316522,0.86323583,0.5073153,0.22601138,0.07823832
muP_SSM,4,10,797459,0.6588343,0.34318945,0.86259145,0.5076176,0.22598839,0.0698609
muP_SSM,4,100,797459,0.6559678,0.34459874,0.8612511,0.51333135,0.22890712,0.03999395
muP_SSM,4,1000,797459,0.61571306,0.4074994,1.003078,0.6780516,0.32917276,0.27814984
muP_SSM,4,1,670436,0.5398365,0.15476258,0.30627894,0.12396751,0.08898319,0.18825169
muP_SSM,4,10,670436,0.539625,0.15500201,0.3068582,0.12523563,0.08885043,0.17717484
muP_SSM,4,100,670436,0.5370539,0.15907395,0.3160445,0.14149025,0.09042955,0.122931026
muP_SSM,4,1000,670436,0.5223788,0.21536842,0.34959343,0.15857692,0.117695145,0.12020093
muP_SSM,4,1,790515,0.7485222,0.40117073,1.0501281,0.90980506,0.22942826,0.25521976
muP_SSM,4,10,790515,0.7485137,0.40119028,1.0503808,0.9102346,0.23018703,0.22373886
muP_SSM,4,100,790515,0.74860436,0.40099126,1.0540252,0.9159043,0.23981066,0.06860179
muP_SSM,4,1000,790515,0.7565143,0.5719655,1.2732759,1.1521784,0.47318956,0.5698997
muP_SSM,4,1,592299,0.7701272,0.4405186,1.4918189,1.3728745,0.3973129,0.2548813
muP_SSM,4,10,592299,0.7697228,0.44095,1.491097,1.3718252,0.3973497,0.22045647
muP_SSM,4,100,592299,0.7644001,0.44957915,1.4905605,1.3650849,0.40172836,0.076716654
muP_SSM,4,1000,592299,0.6778763,0.50315464,1.0761251,0.9028768,0.2790331,0.16810396
muP_SSM,4,1,351613,0.73665476,0.3293136,0.90776277,0.46480986,0.15858117,0.25876775
muP_SSM,4,10,351613,0.7365164,0.32904014,0.9074013,0.46501425,0.15683667,0.21240151
muP_SSM,4,100,351613,0.73522645,0.32992032,0.91598505,0.4692996,0.15467612,0.028171426
muP_SSM,4,1000,351613,0.73613405,0.36460578,1.072279,0.5242429,0.20133094,0.26761895
muP_SSM,8,1,52204,0.49411312,0.29841626,0.7109051,0.5585026,0.20029107,0.1645648
muP_SSM,8,10,52204,0.49434343,0.3002778,0.7105891,0.5595111,0.20119801,0.1286725
muP_SSM,8,100,52204,0.4967347,0.32636973,0.72497946,0.58571047,0.22735906,0.027081257
muP_SSM,8,1000,52204,0.51117045,0.4001681,0.8537839,0.7248799,0.27631146,0.076704174
muP_SSM,8,1,706586,0.51831764,0.34552997,0.69476074,0.4140113,0.10907012,0.009225316
