param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,376846,0.5059664,0.018549979,0.31801638,0.11916657,0.11031546,0.28926826
muP_SSM,2,10,376846,0.5057228,0.01853446,0.31783387,0.119127385,0.114294015,0.23177512
muP_SSM,2,100,376846,0.50303286,0.01832783,0.31780225,0.11932528,0.13432895,0.0420204
muP_SSM,2,1000,376846,0.47219893,0.013517794,0.3181079,0.16063118,0.15837824,0.1392631
muP_SSM,2,1,279922,0.91537327,0.02657074,1.1685439,1.1267588,0.16863416,0.11941053
muP_SSM,2,10,279922,0.9153442,0.026568653,1.1682547,1.1263059,0.16872154,0.13641365
muP_SSM,2,100,279922,0.9151312,0.026538393,1.1663611,1.1228794,0.1734401,0.21314709
muP_SSM,2,1000,279922,0.90334284,0.025418866,1.2155665,1.135282,0.40973616,0.3281607
muP_SSM,2,1,336926,0.28120026,0.008125007,0.047980018,0.024214542,0.15016022,0.24642368
muP_SSM,2,10,336926,0.28117377,0.008124524,0.047057647,0.023800679,0.14954714,0.23766398
muP_SSM,2,100,336926,0.28079262,0.008085842,0.040768404,0.020959819,0.14698163,0.1997169
muP_SSM,2,1000,336926,0.2779195,0.008587357,0.14532694,0.08266928,0.18084398,0.33904535
muP_SSM,2,1,367510,0.58583504,0.01757268,0.23548274,0.14986867,0.12749256,0.1312404
muP_SSM,2,10,367510,0.5858106,0.017563328,0.23571704,0.15004309,0.12615407,0.12094911
muP_SSM,2,100,367510,0.5855598,0.017452803,0.23914376,0.15263045,0.11819148,0.09265434
muP_SSM,2,1000,367510,0.5775499,0.016146505,0.26437655,0.1681785,0.11631514,0.17683744
muP_SSM,2,1,655677,0.6471826,0.020032737,0.37379852,0.24068451,0.2058057,0.29785314
muP_SSM,2,10,655677,0.6473858,0.020029573,0.37315926,0.24086665,0.20552664,0.26941022
muP_SSM,2,100,655677,0.6491557,0.020022495,0.38074893,0.25291038,0.2125399,0.13912176
muP_SSM,2,1000,655677,0.650423,0.020404652,0.5391411,0.4118738,0.31494758,0.06164235
muP_SSM,2,1,973912,0.49636945,0.013375006,0.26150134,0.106579304,0.1049006,0.36232167
muP_SSM,2,10,973912,0.49704286,0.0133757265,0.26136157,0.10659082,0.10115518,0.31839806
muP_SSM,2,100,973912,0.5048311,0.013657419,0.27142915,0.11047577,0.08581264,0.12077633
muP_SSM,2,1000,973912,0.5329456,0.015556532,0.37339148,0.14155523,0.09387075,0.0760535
muP_SSM,2,1,516656,0.6918822,0.043117803,0.30154622,0.124286465,0.15280639,0.12598945
muP_SSM,2,10,516656,0.691694,0.04308087,0.30192852,0.12459811,0.15135129,0.09035068
muP_SSM,2,100,516656,0.6899724,0.042798676,0.31280145,0.12841819,0.14595409,0.06797776
muP_SSM,2,1000,516656,0.66732883,0.039421946,0.56255454,0.14461583,0.1966376,0.06570693
muP_SSM,2,1,609456,0.24190047,0.0075267875,0.10281756,0.043615416,0.09102965,0.12792455
muP_SSM,2,10,609456,0.24086165,0.0075694653,0.10201766,0.04325232,0.09242877,0.106682874
