param_type,width_multiplier,step,rng_seed,post_encoder,ssm_state_0,ssm_output_0,ssm_post_gelu_0,ssm_post_glu_0,output
muP_SSM,2,1,376846,7.214033e-05,1.4119818e-06,5.0920975e-05,1.7508222e-05,0.0006139144,0.0069278837
muP_SSM,2,10,376846,0.0007328776,2.0045416e-05,0.0004788398,0.0001654408,0.00574082,0.064421
muP_SSM,2,100,376846,0.0083825635,0.0002831014,0.0030142653,0.0012828315,0.03040936,0.33821654
muP_SSM,2,1000,376846,0.23741901,0.008507132,0.12656012,0.07287025,0.06470774,0.42685977
muP_SSM,2,1,279922,1.2503517e-05,2.3224027e-06,0.00012491505,8.260726e-05,9.29991e-05,0.0020568804
muP_SSM,2,10,279922,0.00012274388,7.63334e-06,0.0012388116,0.0008269581,0.00090626854,0.019060016
muP_SSM,2,100,279922,0.0011552832,4.8653164e-05,0.011870119,0.007426469,0.009132372,0.09579345
muP_SSM,2,1000,279922,0.038448196,0.0014240757,0.15077928,0.071420945,0.27955398,0.29844826
muP_SSM,2,1,336926,1.743742e-05,2.742482e-06,0.00017280613,8.096817e-05,0.00013449826,0.0010694951
muP_SSM,2,10,336926,0.0001748001,1.0756395e-05,0.0017126937,0.0008037278,0.001232602,0.00982917
muP_SSM,2,100,336926,0.0017932098,9.875248e-05,0.016180297,0.007714191,0.006334921,0.047776263
muP_SSM,2,1000,336926,0.053180594,0.0023654427,0.1612771,0.09035928,0.06428682,0.09155216
muP_SSM,2,1,367510,3.8401363e-06,3.3620895e-06,6.442114e-05,3.5034354e-05,0.00039262246,0.0012813241
muP_SSM,2,10,367510,3.814377e-05,1.3384859e-05,0.000644024,0.00035866676,0.0037667423,0.011572601
muP_SSM,2,100,367510,0.0003798122,0.00013561409,0.0068576336,0.0040869326,0.026747549,0.03986738
muP_SSM,2,1000,367510,0.016003089,0.001652992,0.06892135,0.04046699,0.028598243,0.044315737
muP_SSM,2,1,655677,4.978081e-05,6.3161024e-06,0.00025004757,8.361771e-05,0.00047443697,0.0034641444
muP_SSM,2,10,655677,0.0004990338,3.1730306e-05,0.0023896708,0.00085350964,0.004412871,0.031907078
muP_SSM,2,100,655677,0.004791736,0.00016498812,0.020516092,0.014679086,0.027973969,0.16219553
muP_SSM,2,1000,655677,0.020886093,0.001268888,0.2075711,0.1848319,0.14680648,0.23967496
muP_SSM,2,1,973912,0.00024380109,9.010565e-06,0.00021029892,8.366838e-05,0.00057174155,0.0053642513
muP_SSM,2,10,973912,0.0023714423,7.934211e-05,0.0018861544,0.00076098443,0.0052354634,0.049287856
muP_SSM,2,100,973912,0.020889392,0.000850265,0.014037566,0.0054781185,0.027418977,0.24690957
muP_SSM,2,1000,973912,0.085078105,0.003719027,0.12654813,0.038890358,0.054339793,0.323947
muP_SSM,2,1,516656,3.149847e-05,5.4968086e-06,0.00045869948,0.00013749891,0.00045928886,0.004345268
muP_SSM,2,10,516656,0.00030993272,4.5514196e-05,0.004535695,0.001349029,0.004152791,0.039984044
muP_SSM,2,100,516656,0.0028396228,0.0003556642,0.04225337,0.012002607,0.0169382,0.19831249
muP_SSM,2,1000,516656,0.040882964,0.0040234276,0.39631754,0.044435646,0.093375705,0.06462779
muP_SSM,2,1,609456,0.00039246073,2.1972803e-05,0.00021419898,9.738945e-05,0.00018718097,0.0025595054
muP_SSM,2,10,609456,0.0038570303,0.0002168436,0.002110657,0.00096183846,0.001739229,0.023801168
muP_SSM,2,100,609456,0.03266198,0.0018449677,0.017857138,0.008340158,0.009309021,0.12661873
muP_SSM,2,1000,609456,0.029486233,0.0019477257,0.07240276,0.019944675,0.0230281,0.21543995
muP_SSM,2,1,951615,0.0003221928,1.06952275e-05,0.0011433013,0.00044619222,0.0011124044,0.009341354
muP_SSM,2,10,951615,0.0023883362,7.957744e-05,0.009184012,0.0039989552,0.009928941,0.08384152
muP_SSM,2,100,951615,0.0049327035,0.00017109064,0.039674837,0.025397614,0.04494631,0.3552198
muP_SSM,2,1000,951615,0.032838684,0.0012468039,0.10012575,0.054738976,0.05395008,0.33372322
muP_SSM,2,1,118403,4.023163e-05,7.849194e-10,7.047822e-05,5.2948297e-05,0.00019625456,0.0012086511
muP_SSM,2,10,118403,0.0004104049,7.5767834e-06,0.00071667554,0.0005371789,0.0018990912,0.0112641575
muP_SSM,2,100,118403,0.004990126,0.00017768578,0.0077703097,0.0060374336,0.01597216,0.061546165
muP_SSM,2,1000,118403,0.057525426,0.0026145687,0.12882906,0.10983473,0.17113827,0.15460001
muP_SSM,4,1,376846,0.00019352525,1.5193722e-05,0.00034411863,0.00016422351,0.00042322982,0.0057629584
muP_SSM,4,10,376846,0.001750195,0.00012822902,0.0031530685,0.0015545705,0.0038034448,0.053507157
muP_SSM,4,100,376846,0.00877296,0.00061749824,0.019640919,0.014731544,0.014978869,0.28019595
muP_SSM,4,1000,376846,0.027229287,0.0014597884,0.3456839,0.37862685,0.32492068,0.13913393
muP_SSM,4,1,279922,7.4284944e-05,1.0294772e-05,0.0002187784,0.00013016192,0.00051141327,0.0020211085
muP_SSM,4,10,279922,0.0007126552,6.906527e-05,0.0020747294,0.0011948864,0.0050715054,0.018695315
muP_SSM,4,100,279922,0.006908237,0.00047577146,0.017838232,0.007294035,0.049974203,0.08162937
muP_SSM,4,1000,279922,0.08729628,0.009100801,0.28089002,0.24369627,0.42395827,0.41724005
muP_SSM,4,1,336926,0.00014554054,1.3782199e-05,0.0002695991,0.0002301272,9.957909e-05,0.00032716393
muP_SSM,4,10,336926,0.0014343644,6.613877e-05,0.0027121992,0.0023165625,0.0011128767,0.0030189753
muP_SSM,4,100,336926,0.01392124,0.0004573839,0.023734344,0.020143183,0.009987953,0.017652875
muP_SSM,4,1000,336926,0.081710376,0.0030745666,0.16743287,0.14742967,0.0893718,0.10456963
muP_SSM,4,1,367510,0.00019114919,8.46163e-06,0.00042391286,0.00028389637,0.00013271412,0.00017533898
muP_SSM,4,10,367510,0.0018987028,8.2038925e-05,0.004198728,0.0027943181,0.0012427,0.0014397859
muP_SSM,4,100,367510,0.0146725625,0.00065608474,0.03245208,0.020250652,0.010653492,0.00064233097
muP_SSM,4,1000,367510,0.11850491,0.009997729,0.19891877,0.12535496,0.0776524,0.18685286
muP_SSM,4,1,655677,0.00022968587,1.5076148e-05,0.0005796211,0.0006318568,0.00031456168,0.0018386543
muP_SSM,4,10,655677,0.0023390406,0.00021666438,0.005818333,0.0063474,0.0029708287,0.017146183
muP_SSM,4,100,655677,0.025302386,0.0023846596,0.0616288,0.06792297,0.026419269,0.09683244
muP_SSM,4,1000,655677,0.14475177,0.009421843,0.09380624,0.059919458,0.06919249,0.07735644
muP_SSM,4,1,973912,0.00026188337,1.5625716e-05,0.00033317556,0.00015819512,0.00024026063,0.0020408214
muP_SSM,4,10,973912,0.002586964,0.00012921111,0.0032977206,0.0015886883,0.002309723,0.019022796
muP_SSM,4,100,973912,0.02359976,0.0011509215,0.032632235,0.016838072,0.01677399,0.10304365
muP_SSM,4,1000,973912,0.09099196,0.00550292,0.20262738,0.12190279,0.08535228,0.16592419
muP_SSM,4,1,516656,5.655733e-05,1.9810524e-05,0.00015026849,9.521816e-05,0.00029826222,0.0028364852
muP_SSM,4,10,516656,0.00053076557,4.462075e-05,0.0015295037,0.0009978251,0.0027240273,0.02611171
muP_SSM,4,100,516656,0.0031135825,0.00031170758,0.014853175,0.009501553,0.015152181,0.12329147
muP_SSM,4,1000,516656,0.09739331,0.005937402,0.17197835,0.14843878,0.049376138,0.10233112
muP_SSM,4,1,609456,4.5666424e-05,3.0090825e-06,0.00023160405,0.0002202041,0.00035439598,0.0018568545
muP_SSM,4,10,609456,0.00045303433,2.4491546e-05,0.0023492998,0.00223874,0.0034203203,0.017286597
